policy_number,agency,county,construction_type,roof_type,construction_year,square_footage,public_protection_class,house_value
1606,D,Santa Clara,Fire Resistive,Tile,1985 and Before,4000 and Above,1,$1.6M to $2M
1607,J,Alameda,Fire Resistive,Wood,1985 and Before,Between 3000 and 4000,9,$1.6M to $2M
1608,F,Alameda,Non-Combustible Masonry,Wood,1985 and Before,Below 1500,1,Less than $400K
1609,F,San Mateo,Fire Resistive,Tile,2000 and After,4000 and Above,8,$400K to $800K
1610,I,San Mateo,Frame,Metal,2000 and After,Between 1500 and 3000,1,$1.6M to $2M
1611,A,Santa Clara,Frame,Tile,1985 and Before,Below 1500,6,$1.2M to $1.6M
1612,H,San Francisco,Fire Resistive,Wood,1985 and Before,Between 1500 and 3000,1,$400K to $800K
1613,B,Solano,Fire Resistive,Tile,1985 and Before,Below 1500,8,$800K to $1.2M
1614,H,Santa Clara,Fire Resistive,Metal,2000 and After,4000 and Above,8,Less than $400K
1615,J,Alameda,Fire Resistive,Metal,2000 and After,Between 1500 and 3000,8,$1.6M to $2M
1616,C,San Mateo,Non-Combustible Masonry,Tile,1985 and Before,Below 1500,4,$1.6M to $2M
1617,F,San Francisco,Frame,Metal,2000 and After,4000 and Above,7,Less than $400K
1618,G,San Francisco,Fire Resistive,Tile,2000 and After,Between 1500 and 3000,2,$1.6M to $2M
1619,A,Solano,Fire Resistive,Shingle,2000 and After,Between 1500 and 3000,5,$400K to $800K
1620,B,Santa Clara,Non-Combustible Masonry,Shingle,2000 and After,4000 and Above,4,Less than $400K
1621,H,Santa Clara,Non-Combustible Masonry,Wood,1985 and Before,Below 1500,7,Less than $400K
1622,C,Contra Costa,Fire Resistive,Wood,1985 and Before,Below 1500,7,$400K to $800K
1623,D,Solano,Non-Combustible Masonry,Tile,1985 and Before,Between 1500 and 3000,10,$800K to $1.2M
1624,F,San Mateo,Fire Resistive,Shingle,1986 to 1999,Between 1500 and 3000,1,$800K to $1.2M
1625,A,Santa Clara,Frame,Wood,1986 to 1999,Between 3000 and 4000,9,$1.2M to $1.6M
1626,F,Marin,Fire Resistive,Metal,1985 and Before,4000 and Above,8,$400K to $800K
1627,G,San Francisco,Fire Resistive,Wood,1986 to 1999,4000 and Above,6,$1.2M to $1.6M
1628,A,Contra Costa,Non-Combustible Masonry,Tile,2000 and After,Below 1500,8,$1.2M to $1.6M
1629,D,San Francisco,Fire Resistive,Shingle,1986 to 1999,Between 1500 and 3000,4,$400K to $800K
1630,C,Santa Clara,Fire Resistive,Tile,2000 and After,Between 3000 and 4000,6,$1.6M to $2M
1631,E,Alameda,Fire Resistive,Shingle,1986 to 1999,Below 1500,1,$800K to $1.2M
1632,J,San Francisco,Frame,Tile,1985 and Before,Below 1500,8,$800K to $1.2M
1633,E,Alameda,Frame,Wood,1986 to 1999,4000 and Above,5,$800K to $1.2M
1634,H,San Francisco,Non-Combustible Masonry,Shingle,1985 and Before,4000 and Above,5,$800K to $1.2M
1635,I,Solano,Frame,Shingle,1985 and Before,Between 3000 and 4000,3,$1.2M to $1.6M
1636,B,San Mateo,Frame,Metal,1986 to 1999,Below 1500,9,$1.2M to $1.6M
1637,C,San Francisco,Fire Resistive,Wood,1986 to 1999,Between 1500 and 3000,9,$400K to $800K
1638,C,Solano,Frame,Shingle,1985 and Before,Between 1500 and 3000,1,$1.2M to $1.6M
1639,A,Alameda,Frame,Metal,1985 and Before,4000 and Above,5,$1.6M to $2M
1640,B,Alameda,Non-Combustible Masonry,Metal,1986 to 1999,Below 1500,6,$400K to $800K
1641,A,Santa Clara,Non-Combustible Masonry,Shingle,1986 to 1999,Between 1500 and 3000,6,Less than $400K
1642,H,Marin,Fire Resistive,Shingle,1985 and Before,Below 1500,10,$800K to $1.2M
1643,H,Sonoma,Non-Combustible Masonry,Wood,1986 to 1999,4000 and Above,3,Less than $400K
1644,A,Santa Clara,Fire Resistive,Wood,1985 and Before,Between 1500 and 3000,3,$400K to $800K
1645,C,Alameda,Non-Combustible Masonry,Shingle,2000 and After,Between 3000 and 4000,7,$400K to $800K
1646,H,Solano,Frame,Metal,1986 to 1999,Below 1500,2,$400K to $800K
1647,H,Santa Clara,Fire Resistive,Wood,2000 and After,Between 3000 and 4000,2,$1.2M to $1.6M
1648,D,Santa Clara,Frame,Shingle,2000 and After,Below 1500,8,$1.6M to $2M
1649,F,Marin,Non-Combustible Masonry,Wood,1986 to 1999,Between 1500 and 3000,2,Less than $400K
1650,I,Santa Clara,Frame,Shingle,1986 to 1999,Below 1500,8,$800K to $1.2M
1651,C,Contra Costa,Frame,Wood,1986 to 1999,Between 1500 and 3000,10,$400K to $800K
1652,I,Santa Clara,Non-Combustible Masonry,Metal,1985 and Before,Between 1500 and 3000,9,$1.6M to $2M
1653,A,Marin,Frame,Shingle,2000 and After,Between 1500 and 3000,9,Less than $400K
1654,G,Napa,Fire Resistive,Metal,1986 to 1999,Between 1500 and 3000,4,Less than $400K
1655,G,Alameda,Non-Combustible Masonry,Shingle,1985 and Before,4000 and Above,8,Less than $400K
1656,F,Alameda,Non-Combustible Masonry,Metal,1986 to 1999,Below 1500,3,Less than $400K
1657,D,Sonoma,Frame,Tile,2000 and After,Between 1500 and 3000,4,$800K to $1.2M
1658,H,Sonoma,Frame,Tile,1986 to 1999,4000 and Above,9,$1.2M to $1.6M
1659,E,Contra Costa,Fire Resistive,Shingle,1985 and Before,Below 1500,4,Less than $400K
1660,B,Alameda,Non-Combustible Masonry,Metal,1985 and Before,Between 1500 and 3000,2,$1.6M to $2M
1661,I,Solano,Frame,Metal,2000 and After,Between 3000 and 4000,1,Less than $400K
1662,A,San Mateo,Fire Resistive,Wood,1986 to 1999,Below 1500,8,Less than $400K
1663,C,Santa Clara,Frame,Shingle,1985 and Before,4000 and Above,8,$800K to $1.2M
1664,A,Alameda,Frame,Tile,2000 and After,Below 1500,6,$1.2M to $1.6M
1665,A,San Francisco,Non-Combustible Masonry,Shingle,1986 to 1999,Between 3000 and 4000,5,$1.6M to $2M
1666,A,Alameda,Non-Combustible Masonry,Metal,1985 and Before,Between 3000 and 4000,3,Less than $400K
1667,G,Santa Clara,Frame,Shingle,2000 and After,Between 3000 and 4000,3,Less than $400K
1668,E,Contra Costa,Fire Resistive,Wood,1985 and Before,Between 1500 and 3000,3,$1.2M to $1.6M
1669,D,San Mateo,Non-Combustible Masonry,Wood,2000 and After,Below 1500,6,$800K to $1.2M
1670,A,Santa Clara,Frame,Wood,1985 and Before,Between 1500 and 3000,6,$800K to $1.2M
1671,B,Contra Costa,Frame,Tile,2000 and After,Below 1500,7,Less than $400K
1672,I,Alameda,Non-Combustible Masonry,Metal,2000 and After,Between 1500 and 3000,9,Less than $400K
1673,I,Contra Costa,Frame,Tile,1986 to 1999,Below 1500,6,$800K to $1.2M
1674,A,San Mateo,Non-Combustible Masonry,Shingle,1985 and Before,4000 and Above,8,Less than $400K
1675,G,Alameda,Non-Combustible Masonry,Metal,1986 to 1999,Between 3000 and 4000,7,$1.2M to $1.6M
1676,A,Santa Clara,Frame,Metal,2000 and After,Below 1500,7,Less than $400K
1677,J,San Mateo,Fire Resistive,Shingle,1986 to 1999,Between 1500 and 3000,4,$400K to $800K
1678,A,San Mateo,Fire Resistive,Tile,1985 and Before,4000 and Above,4,$1.6M to $2M
1679,J,Contra Costa,Non-Combustible Masonry,Shingle,2000 and After,Between 1500 and 3000,8,Less than $400K
1680,B,Alameda,Fire Resistive,Metal,1985 and Before,Below 1500,1,$1.2M to $1.6M
1681,A,Santa Clara,Fire Resistive,Metal,2000 and After,Between 1500 and 3000,2,$1.6M to $2M
1682,I,Marin,Frame,Tile,1985 and Before,Below 1500,3,Less than $400K
1683,G,Alameda,Non-Combustible Masonry,Tile,2000 and After,Below 1500,6,$1.2M to $1.6M
1684,H,San Francisco,Non-Combustible Masonry,Tile,1985 and Before,Between 1500 and 3000,5,$800K to $1.2M
1685,C,Sonoma,Frame,Metal,1985 and Before,Below 1500,2,$1.2M to $1.6M
1686,D,Santa Clara,Frame,Tile,1986 to 1999,Between 1500 and 3000,6,$400K to $800K
1687,J,Santa Clara,Frame,Metal,1986 to 1999,Between 3000 and 4000,5,$1.6M to $2M
1688,I,San Mateo,Frame,Shingle,1986 to 1999,Between 3000 and 4000,8,$1.2M to $1.6M
1689,I,Alameda,Non-Combustible Masonry,Metal,1985 and Before,Below 1500,3,Less than $400K
1690,C,Santa Clara,Non-Combustible Masonry,Tile,1985 and Before,Between 3000 and 4000,8,$1.6M to $2M
1691,H,Sonoma,Non-Combustible Masonry,Metal,1986 to 1999,4000 and Above,8,$800K to $1.2M
1692,J,San Mateo,Non-Combustible Masonry,Shingle,1986 to 1999,Between 1500 and 3000,10,$1.6M to $2M
1693,D,Contra Costa,Non-Combustible Masonry,Tile,1986 to 1999,Between 3000 and 4000,10,$1.6M to $2M
1694,J,Alameda,Frame,Wood,1986 to 1999,4000 and Above,9,$400K to $800K
1695,H,Contra Costa,Fire Resistive,Metal,1985 and Before,Between 1500 and 3000,4,$1.6M to $2M
1696,I,Contra Costa,Fire Resistive,Wood,1986 to 1999,4000 and Above,8,$800K to $1.2M
1697,A,San Mateo,Non-Combustible Masonry,Tile,2000 and After,Between 1500 and 3000,2,$1.2M to $1.6M
1698,C,Santa Clara,Non-Combustible Masonry,Wood,1985 and Before,4000 and Above,5,$1.6M to $2M
1699,J,Alameda,Frame,Shingle,1986 to 1999,4000 and Above,8,$400K to $800K
1700,I,Alameda,Fire Resistive,Shingle,2000 and After,4000 and Above,1,$1.2M to $1.6M
1701,B,San Mateo,Fire Resistive,Wood,1985 and Before,Below 1500,9,$400K to $800K
1702,G,San Mateo,Fire Resistive,Metal,2000 and After,Between 3000 and 4000,2,$1.6M to $2M
1703,C,Solano,Non-Combustible Masonry,Metal,2000 and After,4000 and Above,3,$400K to $800K
1704,A,San Mateo,Frame,Shingle,1986 to 1999,4000 and Above,3,$400K to $800K
1705,C,San Mateo,Frame,Metal,1986 to 1999,4000 and Above,4,$400K to $800K
1706,B,Alameda,Fire Resistive,Wood,1985 and Before,Below 1500,8,$1.2M to $1.6M
1707,F,Alameda,Frame,Shingle,1986 to 1999,Between 1500 and 3000,1,Less than $400K
1708,A,Alameda,Fire Resistive,Wood,1986 to 1999,Below 1500,7,$400K to $800K
1709,F,San Francisco,Frame,Tile,2000 and After,Below 1500,3,$800K to $1.2M
1710,G,Napa,Fire Resistive,Metal,1986 to 1999,Below 1500,3,$400K to $800K
1711,E,Contra Costa,Non-Combustible Masonry,Shingle,2000 and After,Between 1500 and 3000,3,$800K to $1.2M
1712,E,San Francisco,Fire Resistive,Tile,1985 and Before,Between 1500 and 3000,3,$400K to $800K
1713,B,Solano,Non-Combustible Masonry,Wood,1985 and Before,Below 1500,3,Less than $400K
1714,I,Alameda,Non-Combustible Masonry,Tile,1985 and Before,Between 3000 and 4000,1,$1.2M to $1.6M
1715,D,Alameda,Fire Resistive,Metal,2000 and After,4000 and Above,5,$400K to $800K
1716,F,Santa Clara,Fire Resistive,Tile,1985 and Before,Between 3000 and 4000,1,$1.6M to $2M
1717,J,Contra Costa,Frame,Metal,1985 and Before,4000 and Above,1,$800K to $1.2M
1718,J,Santa Clara,Fire Resistive,Tile,1986 to 1999,Between 3000 and 4000,7,$1.6M to $2M
1719,E,San Mateo,Frame,Shingle,2000 and After,Between 3000 and 4000,6,$400K to $800K
1720,H,Alameda,Fire Resistive,Tile,2000 and After,Below 1500,4,$800K to $1.2M
1721,J,San Mateo,Fire Resistive,Wood,1986 to 1999,Between 1500 and 3000,4,$400K to $800K
1722,B,Alameda,Fire Resistive,Wood,1986 to 1999,Below 1500,6,$1.2M to $1.6M
1723,H,Santa Clara,Non-Combustible Masonry,Metal,2000 and After,Below 1500,7,$400K to $800K
1724,D,Santa Clara,Fire Resistive,Wood,2000 and After,Between 3000 and 4000,2,$1.2M to $1.6M
1725,H,Alameda,Non-Combustible Masonry,Wood,2000 and After,Between 1500 and 3000,10,$1.6M to $2M
1726,B,Contra Costa,Non-Combustible Masonry,Wood,1986 to 1999,Between 1500 and 3000,8,Less than $400K
1727,B,Alameda,Frame,Tile,1985 and Before,Below 1500,4,$800K to $1.2M
1728,B,Santa Clara,Fire Resistive,Metal,2000 and After,4000 and Above,1,$1.6M to $2M
1729,J,Santa Clara,Fire Resistive,Metal,1985 and Before,4000 and Above,9,$1.6M to $2M
1730,F,Santa Clara,Fire Resistive,Tile,1985 and Before,Between 3000 and 4000,2,$400K to $800K
1731,H,Alameda,Fire Resistive,Shingle,1985 and Before,Below 1500,2,Less than $400K
1732,C,San Francisco,Frame,Tile,1986 to 1999,Below 1500,2,$400K to $800K
1733,G,Santa Clara,Frame,Tile,2000 and After,4000 and Above,10,$800K to $1.2M
1734,I,Santa Clara,Fire Resistive,Tile,1986 to 1999,Between 1500 and 3000,3,$400K to $800K
1735,G,Alameda,Non-Combustible Masonry,Tile,2000 and After,Below 1500,9,$400K to $800K
1736,A,San Mateo,Frame,Tile,1985 and Before,Between 1500 and 3000,4,Less than $400K
1737,F,Santa Clara,Frame,Wood,1986 to 1999,Between 3000 and 4000,8,$1.2M to $1.6M
1738,J,San Mateo,Non-Combustible Masonry,Wood,1986 to 1999,Below 1500,9,Less than $400K
1739,J,Alameda,Frame,Tile,2000 and After,Below 1500,7,$800K to $1.2M
1740,F,Alameda,Frame,Wood,2000 and After,4000 and Above,2,Less than $400K
1741,I,Contra Costa,Fire Resistive,Tile,2000 and After,Between 1500 and 3000,7,$400K to $800K
1742,A,San Francisco,Non-Combustible Masonry,Wood,2000 and After,Between 3000 and 4000,1,$800K to $1.2M
1743,A,San Mateo,Frame,Metal,1985 and Before,Between 3000 and 4000,5,$400K to $800K
1744,D,Sonoma,Frame,Metal,1985 and Before,4000 and Above,7,$1.2M to $1.6M
1745,B,Santa Clara,Non-Combustible Masonry,Wood,2000 and After,Between 3000 and 4000,1,$400K to $800K
1746,D,Alameda,Non-Combustible Masonry,Tile,1986 to 1999,Below 1500,10,$1.2M to $1.6M
1747,E,Contra Costa,Frame,Metal,1985 and Before,4000 and Above,7,Less than $400K
1748,A,San Francisco,Frame,Metal,1986 to 1999,Below 1500,4,$1.2M to $1.6M
1749,E,Alameda,Non-Combustible Masonry,Wood,2000 and After,4000 and Above,7,Less than $400K
1750,I,Alameda,Frame,Tile,2000 and After,Below 1500,8,$800K to $1.2M
1751,J,Alameda,Frame,Shingle,1986 to 1999,Between 3000 and 4000,1,$1.2M to $1.6M
1752,A,Sonoma,Non-Combustible Masonry,Shingle,1985 and Before,Below 1500,5,$800K to $1.2M
1753,G,Santa Clara,Non-Combustible Masonry,Tile,1985 and Before,Below 1500,7,$1.2M to $1.6M
1754,E,Contra Costa,Frame,Wood,1985 and Before,Between 1500 and 3000,5,$1.2M to $1.6M
1755,B,Santa Clara,Non-Combustible Masonry,Shingle,1986 to 1999,4000 and Above,9,$1.2M to $1.6M
1756,G,Contra Costa,Fire Resistive,Wood,2000 and After,Below 1500,7,$800K to $1.2M
1757,J,Santa Clara,Frame,Shingle,2000 and After,Between 3000 and 4000,1,$800K to $1.2M
1758,H,Contra Costa,Non-Combustible Masonry,Tile,2000 and After,4000 and Above,5,$400K to $800K
1759,G,Santa Clara,Non-Combustible Masonry,Wood,2000 and After,Between 3000 and 4000,10,Less than $400K
1760,G,Alameda,Frame,Metal,1986 to 1999,Below 1500,6,$1.6M to $2M
1761,D,Contra Costa,Non-Combustible Masonry,Metal,1985 and Before,Between 1500 and 3000,6,$1.2M to $1.6M
1762,B,Solano,Frame,Metal,1985 and Before,Below 1500,3,$1.6M to $2M
1763,C,Santa Clara,Non-Combustible Masonry,Wood,1986 to 1999,Between 1500 and 3000,8,$1.2M to $1.6M
1764,H,Santa Clara,Fire Resistive,Tile,1986 to 1999,Between 1500 and 3000,1,$800K to $1.2M
1765,B,Santa Clara,Non-Combustible Masonry,Shingle,2000 and After,Between 1500 and 3000,8,$1.2M to $1.6M
1766,H,Sonoma,Frame,Shingle,2000 and After,Between 1500 and 3000,8,$800K to $1.2M
1767,J,San Mateo,Fire Resistive,Metal,1986 to 1999,Below 1500,10,Less than $400K
1768,I,Alameda,Non-Combustible Masonry,Metal,1986 to 1999,Below 1500,8,Less than $400K
1769,G,Santa Clara,Frame,Shingle,1985 and Before,4000 and Above,1,$800K to $1.2M
1770,A,Alameda,Non-Combustible Masonry,Wood,1986 to 1999,4000 and Above,8,$1.6M to $2M
1771,B,Alameda,Frame,Shingle,1986 to 1999,Below 1500,1,$800K to $1.2M
1772,E,Santa Clara,Non-Combustible Masonry,Metal,1986 to 1999,Below 1500,6,$1.2M to $1.6M
1773,H,Santa Clara,Frame,Tile,2000 and After,Below 1500,9,$1.2M to $1.6M
1774,C,Contra Costa,Fire Resistive,Tile,1985 and Before,4000 and Above,6,$800K to $1.2M
1775,A,San Francisco,Frame,Metal,1985 and Before,Between 1500 and 3000,1,$1.2M to $1.6M
1776,A,Contra Costa,Frame,Metal,1986 to 1999,Below 1500,8,Less than $400K
1777,F,Alameda,Frame,Shingle,2000 and After,Below 1500,2,$800K to $1.2M
1778,A,Solano,Non-Combustible Masonry,Tile,1985 and Before,Below 1500,7,$800K to $1.2M
1779,F,San Mateo,Non-Combustible Masonry,Wood,1985 and Before,Between 1500 and 3000,2,$1.6M to $2M
1780,H,San Francisco,Non-Combustible Masonry,Wood,1986 to 1999,4000 and Above,1,$400K to $800K
1781,F,Alameda,Non-Combustible Masonry,Wood,2000 and After,4000 and Above,4,$400K to $800K
1782,G,San Mateo,Frame,Metal,2000 and After,4000 and Above,5,$1.2M to $1.6M
1783,B,Contra Costa,Non-Combustible Masonry,Tile,2000 and After,4000 and Above,3,Less than $400K
1784,E,Santa Clara,Frame,Shingle,1985 and Before,Between 1500 and 3000,6,$1.6M to $2M
1785,F,San Francisco,Fire Resistive,Metal,2000 and After,Between 3000 and 4000,4,$800K to $1.2M
1786,C,Alameda,Fire Resistive,Shingle,2000 and After,Between 3000 and 4000,2,$800K to $1.2M
1787,F,Napa,Non-Combustible Masonry,Metal,2000 and After,4000 and Above,1,Less than $400K
1788,C,Alameda,Non-Combustible Masonry,Wood,1985 and Before,Between 1500 and 3000,3,Less than $400K
1789,D,Alameda,Fire Resistive,Metal,1985 and Before,4000 and Above,1,$1.6M to $2M
1790,J,Santa Clara,Frame,Wood,1986 to 1999,Between 1500 and 3000,3,$1.2M to $1.6M
1791,G,Alameda,Frame,Metal,1985 and Before,Between 1500 and 3000,8,$1.6M to $2M
1792,D,Napa,Non-Combustible Masonry,Tile,2000 and After,4000 and Above,8,$1.2M to $1.6M
1793,J,Santa Clara,Non-Combustible Masonry,Shingle,1985 and Before,4000 and Above,2,$800K to $1.2M
1794,I,Alameda,Non-Combustible Masonry,Wood,1986 to 1999,Between 1500 and 3000,5,$800K to $1.2M
1795,F,Marin,Frame,Metal,1986 to 1999,Between 3000 and 4000,5,$1.6M to $2M
1796,J,Contra Costa,Non-Combustible Masonry,Tile,1985 and Before,Between 3000 and 4000,6,$400K to $800K
1797,H,Santa Clara,Non-Combustible Masonry,Shingle,1985 and Before,Between 3000 and 4000,4,$1.6M to $2M
1798,I,San Mateo,Frame,Wood,1985 and Before,Between 3000 and 4000,3,$400K to $800K
1799,D,San Francisco,Frame,Tile,1986 to 1999,Below 1500,5,$1.6M to $2M
1800,C,Contra Costa,Fire Resistive,Tile,1985 and Before,4000 and Above,3,$400K to $800K
1801,I,Alameda,Fire Resistive,Wood,1985 and Before,4000 and Above,1,Less than $400K
1802,A,Marin,Fire Resistive,Shingle,2000 and After,Between 3000 and 4000,3,$1.6M to $2M
1803,I,Alameda,Non-Combustible Masonry,Wood,1986 to 1999,Between 3000 and 4000,2,$400K to $800K
1804,G,Solano,Non-Combustible Masonry,Wood,1986 to 1999,4000 and Above,10,Less than $400K
1805,J,Sonoma,Non-Combustible Masonry,Tile,1985 and Before,4000 and Above,10,$800K to $1.2M
1806,D,Alameda,Non-Combustible Masonry,Shingle,2000 and After,Between 3000 and 4000,4,$800K to $1.2M
1807,I,Alameda,Non-Combustible Masonry,Shingle,2000 and After,4000 and Above,5,$1.2M to $1.6M
1808,G,Alameda,Non-Combustible Masonry,Tile,1985 and Before,Between 3000 and 4000,10,$1.6M to $2M
1809,H,Santa Clara,Non-Combustible Masonry,Tile,1985 and Before,Between 1500 and 3000,3,$1.6M to $2M
1810,D,Marin,Fire Resistive,Shingle,1986 to 1999,Between 1500 and 3000,7,Less than $400K
1811,B,San Francisco,Fire Resistive,Metal,1985 and Before,Between 1500 and 3000,9,$800K to $1.2M
1812,E,San Mateo,Non-Combustible Masonry,Shingle,1986 to 1999,Between 3000 and 4000,1,$1.6M to $2M
1813,I,Alameda,Fire Resistive,Shingle,2000 and After,Between 3000 and 4000,6,$800K to $1.2M
1814,C,Santa Clara,Non-Combustible Masonry,Tile,1985 and Before,Below 1500,8,$1.6M to $2M
1815,C,Santa Clara,Frame,Wood,2000 and After,Below 1500,8,Less than $400K
1816,A,Santa Clara,Fire Resistive,Shingle,1986 to 1999,Between 3000 and 4000,6,$1.2M to $1.6M
1817,A,Alameda,Frame,Shingle,1985 and Before,Between 1500 and 3000,7,$800K to $1.2M
1818,H,Santa Clara,Non-Combustible Masonry,Tile,1986 to 1999,Between 3000 and 4000,8,$800K to $1.2M
1819,A,Santa Clara,Frame,Wood,1986 to 1999,Between 1500 and 3000,3,$800K to $1.2M
1820,D,Santa Clara,Fire Resistive,Shingle,2000 and After,4000 and Above,4,$800K to $1.2M
1821,A,Santa Clara,Frame,Tile,1985 and Before,Between 1500 and 3000,10,$800K to $1.2M
1822,I,Alameda,Frame,Metal,1985 and Before,Between 1500 and 3000,6,$1.2M to $1.6M
1823,G,San Mateo,Fire Resistive,Wood,2000 and After,4000 and Above,2,$1.6M to $2M
1824,I,Alameda,Frame,Wood,2000 and After,Between 3000 and 4000,5,$1.6M to $2M
1825,C,San Francisco,Frame,Shingle,1985 and Before,Between 1500 and 3000,3,$400K to $800K
1826,C,Napa,Non-Combustible Masonry,Metal,1985 and Before,4000 and Above,1,$800K to $1.2M
1827,C,Contra Costa,Non-Combustible Masonry,Wood,1986 to 1999,4000 and Above,7,$1.2M to $1.6M
1828,B,Santa Clara,Frame,Metal,2000 and After,4000 and Above,4,$1.6M to $2M
1829,E,San Francisco,Fire Resistive,Wood,1985 and Before,Between 1500 and 3000,9,Less than $400K
1830,D,San Mateo,Fire Resistive,Shingle,1986 to 1999,4000 and Above,8,$400K to $800K
1831,E,Santa Clara,Non-Combustible Masonry,Wood,2000 and After,Between 1500 and 3000,2,$1.6M to $2M
1832,B,San Francisco,Frame,Wood,2000 and After,Below 1500,2,$1.2M to $1.6M
1833,J,San Francisco,Non-Combustible Masonry,Metal,1985 and Before,Between 3000 and 4000,5,$1.6M to $2M
1834,H,Alameda,Non-Combustible Masonry,Metal,1985 and Before,Below 1500,8,$1.6M to $2M
1835,H,Contra Costa,Non-Combustible Masonry,Shingle,1986 to 1999,4000 and Above,6,$800K to $1.2M
1836,E,Santa Clara,Fire Resistive,Shingle,1986 to 1999,4000 and Above,6,$400K to $800K
1837,H,Alameda,Fire Resistive,Tile,1986 to 1999,4000 and Above,4,Less than $400K
