policy_number,agency,county,construction_type,roof_type,construction_year,square_footage,public_protection_class,house_value, claim_amounts 
4869,G,San Mateo,Non-Combustible Masonry,Wood,2000 and After,Below 1500,8,$400K to $800K," $94,105.38 "
4870,H,Alameda,Fire Resistive,Metal,1985 and Before,Between 1500 and 3000,5,$1.2M to $1.6M," $217,663.56 "
4871,A,Santa Clara,Fire Resistive,Metal,2000 and After,4000 and Above,3,$800K to $1.2M,
4872,E,Santa Clara,Fire Resistive,Shingle,2000 and After,Between 1500 and 3000,8,$1.2M to $1.6M,
4873,J,Contra Costa,Fire Resistive,Wood,1986 to 1999,Between 1500 and 3000,5,$1.2M to $1.6M,
4874,D,San Francisco,Frame,Shingle,1986 to 1999,Between 3000 and 4000,1,Less than $400K,
4875,H,Santa Clara,Frame,Shingle,1985 and Before,Between 1500 and 3000,6,$1.2M to $1.6M,
4876,H,Contra Costa,Fire Resistive,Metal,1985 and Before,4000 and Above,5,Less than $400K," $37,803.04 "
4877,G,San Mateo,Fire Resistive,Shingle,2000 and After,Between 1500 and 3000,4,$1.2M to $1.6M," $140,077.60 "
4878,J,Contra Costa,Non-Combustible Masonry,Shingle,1986 to 1999,Below 1500,9,$1.2M to $1.6M,
4879,A,Alameda,Fire Resistive,Metal,2000 and After,Between 3000 and 4000,3,$1.2M to $1.6M," $197,787.87 "
4880,J,Solano,Fire Resistive,Shingle,1986 to 1999,Between 3000 and 4000,1,Less than $400K," $94,208.62 "
4881,F,Contra Costa,Fire Resistive,Shingle,1986 to 1999,Below 1500,5,$800K to $1.2M,
4882,A,San Mateo,Non-Combustible Masonry,Wood,1986 to 1999,Between 1500 and 3000,2,$400K to $800K," $87,673.71 "
4883,J,San Francisco,Frame,Metal,1986 to 1999,Below 1500,9,Less than $400K,
4884,E,San Francisco,Non-Combustible Masonry,Tile,1986 to 1999,Between 3000 and 4000,1,$1.6M to $2M," $137,491.70 "
4885,A,Santa Clara,Fire Resistive,Shingle,2000 and After,4000 and Above,6,$1.2M to $1.6M,
4886,G,Napa,Fire Resistive,Shingle,1985 and Before,Between 1500 and 3000,4,$800K to $1.2M," $367,775.24 "
4887,E,Santa Clara,Non-Combustible Masonry,Metal,1985 and Before,Between 3000 and 4000,7,$800K to $1.2M,
4888,G,Marin,Non-Combustible Masonry,Wood,1985 and Before,4000 and Above,7,$1.2M to $1.6M,
4889,A,Solano,Non-Combustible Masonry,Metal,1985 and Before,Below 1500,9,$400K to $800K,
4890,B,Alameda,Frame,Metal,2000 and After,Between 3000 and 4000,3,$1.2M to $1.6M," $218,983.67 "
4891,H,Napa,Fire Resistive,Metal,2000 and After,Between 1500 and 3000,2,Less than $400K,
4892,H,Contra Costa,Fire Resistive,Metal,1986 to 1999,Between 3000 and 4000,5,$1.6M to $2M,
4893,E,Alameda,Fire Resistive,Shingle,1985 and Before,Below 1500,4,Less than $400K,
4894,G,Contra Costa,Fire Resistive,Wood,1986 to 1999,Below 1500,1,$1.6M to $2M,
4895,D,Solano,Frame,Tile,1986 to 1999,4000 and Above,10,$1.6M to $2M,
4896,E,Contra Costa,Fire Resistive,Wood,2000 and After,4000 and Above,4,$1.6M to $2M," $132,862.67 "
4897,C,Santa Clara,Non-Combustible Masonry,Tile,1986 to 1999,Below 1500,3,$400K to $800K," $107,783.40 "
4898,J,San Mateo,Non-Combustible Masonry,Metal,1986 to 1999,Between 1500 and 3000,2,$800K to $1.2M,
4899,J,San Mateo,Non-Combustible Masonry,Wood,1986 to 1999,Below 1500,10,$800K to $1.2M,
4900,J,Contra Costa,Frame,Metal,1985 and Before,4000 and Above,3,$1.2M to $1.6M,
4901,J,Alameda,Non-Combustible Masonry,Metal,1986 to 1999,Below 1500,1,$800K to $1.2M,
4902,J,Napa,Non-Combustible Masonry,Shingle,2000 and After,Between 1500 and 3000,1,$1.6M to $2M,
4903,B,Sonoma,Non-Combustible Masonry,Wood,1985 and Before,Between 1500 and 3000,10,Less than $400K,
4904,J,Alameda,Fire Resistive,Shingle,1985 and Before,Between 1500 and 3000,8,$1.6M to $2M," $235,963.71 "
4905,C,Sonoma,Frame,Wood,2000 and After,Between 1500 and 3000,6,$1.2M to $1.6M,
4906,D,Alameda,Frame,Metal,1986 to 1999,4000 and Above,1,$800K to $1.2M,
4907,E,San Mateo,Non-Combustible Masonry,Wood,1985 and Before,Between 1500 and 3000,9,$1.6M to $2M,
4908,C,Alameda,Frame,Shingle,2000 and After,Between 3000 and 4000,10,$800K to $1.2M,
4909,J,Contra Costa,Fire Resistive,Shingle,2000 and After,4000 and Above,6,$400K to $800K,
4910,G,Alameda,Non-Combustible Masonry,Shingle,1985 and Before,Between 1500 and 3000,1,Less than $400K,
4911,F,Santa Clara,Non-Combustible Masonry,Shingle,1986 to 1999,Between 3000 and 4000,10,$400K to $800K," $87,664.33 "
4912,I,San Francisco,Fire Resistive,Tile,1985 and Before,Below 1500,10,$1.2M to $1.6M,
4913,J,Santa Clara,Non-Combustible Masonry,Metal,2000 and After,Between 3000 and 4000,2,$400K to $800K," $99,893.32 "
4914,A,Santa Clara,Fire Resistive,Wood,1986 to 1999,4000 and Above,8,Less than $400K,
4915,C,Contra Costa,Frame,Metal,1986 to 1999,4000 and Above,8,$400K to $800K,
4916,B,San Mateo,Frame,Metal,2000 and After,Between 3000 and 4000,2,$800K to $1.2M,
4917,H,San Mateo,Fire Resistive,Metal,1985 and Before,Below 1500,5,$1.2M to $1.6M,
4918,B,Solano,Frame,Wood,2000 and After,Between 1500 and 3000,6,Less than $400K,
4919,I,Alameda,Frame,Tile,2000 and After,Between 1500 and 3000,10,$400K to $800K,
4920,J,San Mateo,Non-Combustible Masonry,Shingle,1985 and Before,Between 1500 and 3000,9,$400K to $800K,
4921,A,Contra Costa,Non-Combustible Masonry,Tile,1985 and Before,Below 1500,9,$1.6M to $2M,
4922,H,Santa Clara,Non-Combustible Masonry,Shingle,2000 and After,Between 3000 and 4000,4,$800K to $1.2M," $113,324.34 "
4923,D,San Mateo,Non-Combustible Masonry,Shingle,1986 to 1999,Between 1500 and 3000,7,Less than $400K,
4924,J,Santa Clara,Non-Combustible Masonry,Metal,2000 and After,4000 and Above,2,$800K to $1.2M," $112,321.41 "
4925,C,San Mateo,Fire Resistive,Metal,1986 to 1999,Between 1500 and 3000,3,$800K to $1.2M,
4926,D,San Mateo,Frame,Tile,2000 and After,Below 1500,5,$1.2M to $1.6M,
4927,D,Contra Costa,Fire Resistive,Metal,2000 and After,Below 1500,4,$1.2M to $1.6M,
4928,A,Contra Costa,Fire Resistive,Shingle,1985 and Before,Between 1500 and 3000,7,$800K to $1.2M,
4929,A,San Mateo,Fire Resistive,Metal,1985 and Before,Below 1500,4,$1.6M to $2M,
4930,G,San Mateo,Frame,Metal,1986 to 1999,Below 1500,1,$1.2M to $1.6M,
4931,J,Alameda,Frame,Wood,2000 and After,Between 3000 and 4000,3,Less than $400K," $59,056.39 "
4932,F,Santa Clara,Frame,Metal,2000 and After,Between 3000 and 4000,10,$800K to $1.2M,
4933,B,San Mateo,Non-Combustible Masonry,Tile,1985 and Before,Between 1500 and 3000,4,Less than $400K,
4934,F,Santa Clara,Non-Combustible Masonry,Wood,1986 to 1999,4000 and Above,8,$800K to $1.2M," $149,768.35 "
4935,E,Contra Costa,Non-Combustible Masonry,Wood,1985 and Before,4000 and Above,7,$1.6M to $2M," $144,952.26 "
4936,A,Solano,Frame,Wood,1985 and Before,4000 and Above,9,$800K to $1.2M," $143,047.48 "
4937,G,Alameda,Fire Resistive,Metal,1985 and Before,Below 1500,3,Less than $400K,
4938,H,Alameda,Non-Combustible Masonry,Tile,2000 and After,4000 and Above,7,$1.2M to $1.6M," $203,763.73 "
4939,C,Solano,Frame,Metal,1985 and Before,Below 1500,10,Less than $400K,
4940,G,Alameda,Fire Resistive,Tile,1986 to 1999,Below 1500,6,$800K to $1.2M,
4941,B,San Francisco,Fire Resistive,Metal,1986 to 1999,Between 1500 and 3000,5,$1.2M to $1.6M,
4942,C,San Mateo,Fire Resistive,Tile,1986 to 1999,Between 1500 and 3000,1,$1.6M to $2M,
4943,G,Napa,Frame,Metal,2000 and After,Between 3000 and 4000,6,$400K to $800K,
4944,E,Santa Clara,Non-Combustible Masonry,Tile,1986 to 1999,Below 1500,3,$1.6M to $2M,
4945,C,Alameda,Frame,Wood,2000 and After,Between 3000 and 4000,6,$1.6M to $2M,
4946,F,Alameda,Non-Combustible Masonry,Wood,1986 to 1999,Between 1500 and 3000,6,$1.2M to $1.6M," $200,358.72 "
4947,J,San Francisco,Frame,Metal,1986 to 1999,Between 1500 and 3000,9,Less than $400K,
4948,D,Contra Costa,Fire Resistive,Shingle,1986 to 1999,Between 3000 and 4000,6,$400K to $800K,
4949,A,Contra Costa,Non-Combustible Masonry,Tile,2000 and After,Between 3000 and 4000,2,$1.6M to $2M," $143,686.72 "
4950,I,Alameda,Frame,Tile,2000 and After,Between 1500 and 3000,10,$800K to $1.2M,
4951,D,Alameda,Non-Combustible Masonry,Metal,1986 to 1999,4000 and Above,5,Less than $400K,
4952,H,Santa Clara,Non-Combustible Masonry,Tile,1986 to 1999,Below 1500,6,$1.6M to $2M,
4953,G,Santa Clara,Non-Combustible Masonry,Shingle,1986 to 1999,4000 and Above,5,$1.6M to $2M,
4954,B,Alameda,Non-Combustible Masonry,Tile,2000 and After,Between 1500 and 3000,4,$400K to $800K," $121,696.42 "
4955,E,Contra Costa,Non-Combustible Masonry,Metal,2000 and After,4000 and Above,2,Less than $400K,
4956,D,Santa Clara,Frame,Wood,1985 and Before,Between 3000 and 4000,2,$400K to $800K," $96,451.97 "
4957,I,Santa Clara,Frame,Shingle,1985 and Before,Below 1500,4,$1.2M to $1.6M," $162,210.04 "
4958,I,Santa Clara,Frame,Metal,2000 and After,4000 and Above,5,$400K to $800K,
4959,H,San Francisco,Non-Combustible Masonry,Metal,1985 and Before,Between 1500 and 3000,6,$1.6M to $2M,
4960,E,Santa Clara,Non-Combustible Masonry,Tile,1985 and Before,Between 1500 and 3000,4,$1.2M to $1.6M,
4961,B,San Mateo,Fire Resistive,Wood,1985 and Before,4000 and Above,10,$400K to $800K," $88,178.61 "
4962,E,San Francisco,Frame,Tile,1986 to 1999,Between 1500 and 3000,6,$400K to $800K,
4963,H,San Francisco,Fire Resistive,Tile,1986 to 1999,Between 3000 and 4000,8,$1.2M to $1.6M,
4964,B,Santa Clara,Frame,Metal,2000 and After,4000 and Above,10,$1.6M to $2M," $201,493.40 "
4965,J,Santa Clara,Fire Resistive,Shingle,1986 to 1999,Between 3000 and 4000,7,$800K to $1.2M,
4966,C,San Mateo,Frame,Shingle,2000 and After,Between 1500 and 3000,8,$1.2M to $1.6M," $131,386.35 "
4967,J,Alameda,Frame,Metal,1986 to 1999,Between 3000 and 4000,1,$400K to $800K,
4968,I,San Francisco,Frame,Metal,1985 and Before,Below 1500,3,$1.6M to $2M,
4969,F,San Francisco,Non-Combustible Masonry,Tile,2000 and After,Below 1500,4,$1.2M to $1.6M,
4970,I,San Francisco,Fire Resistive,Shingle,1985 and Before,Below 1500,2,Less than $400K,
4971,E,San Francisco,Fire Resistive,Tile,1986 to 1999,Between 3000 and 4000,4,$1.6M to $2M,
4972,F,Santa Clara,Fire Resistive,Shingle,1986 to 1999,Between 1500 and 3000,5,$1.2M to $1.6M,
4973,I,Contra Costa,Non-Combustible Masonry,Tile,2000 and After,Below 1500,5,Less than $400K,
4974,B,Alameda,Frame,Wood,2000 and After,Between 1500 and 3000,8,$400K to $800K,
4975,G,Sonoma,Fire Resistive,Tile,1986 to 1999,Between 1500 and 3000,4,Less than $400K,
4976,D,Contra Costa,Non-Combustible Masonry,Tile,1985 and Before,Between 3000 and 4000,6,$1.2M to $1.6M," $136,415.80 "
4977,C,San Francisco,Non-Combustible Masonry,Shingle,1985 and Before,Between 1500 and 3000,7,Less than $400K,
4978,D,Alameda,Fire Resistive,Shingle,1985 and Before,Between 1500 and 3000,7,$800K to $1.2M," $144,388.25 "
4979,I,San Mateo,Frame,Shingle,1986 to 1999,Between 3000 and 4000,5,$1.2M to $1.6M,
4980,C,Contra Costa,Non-Combustible Masonry,Tile,2000 and After,Between 3000 and 4000,2,$400K to $800K,
4981,H,Santa Clara,Fire Resistive,Shingle,1986 to 1999,Between 3000 and 4000,8,$800K to $1.2M,
4982,I,Santa Clara,Frame,Wood,1986 to 1999,Between 3000 and 4000,1,$800K to $1.2M,
4983,H,Alameda,Fire Resistive,Metal,1986 to 1999,4000 and Above,9,$800K to $1.2M,
4984,E,Alameda,Non-Combustible Masonry,Wood,1986 to 1999,Between 1500 and 3000,1,$800K to $1.2M,
4985,E,Solano,Fire Resistive,Tile,1986 to 1999,Between 1500 and 3000,2,$1.6M to $2M,
4986,C,San Mateo,Frame,Wood,2000 and After,4000 and Above,3,$1.6M to $2M,
4987,I,San Francisco,Fire Resistive,Shingle,1985 and Before,Between 1500 and 3000,4,$400K to $800K,
4988,I,San Francisco,Fire Resistive,Tile,1985 and Before,Below 1500,7,$800K to $1.2M," $107,439.52 "
4989,H,Santa Clara,Non-Combustible Masonry,Tile,1985 and Before,Between 3000 and 4000,8,$1.6M to $2M,
4990,B,Alameda,Non-Combustible Masonry,Wood,1986 to 1999,4000 and Above,2,$400K to $800K,
4991,I,Solano,Non-Combustible Masonry,Tile,1986 to 1999,4000 and Above,6,$1.6M to $2M,
4992,F,Alameda,Fire Resistive,Wood,1985 and Before,Between 1500 and 3000,1,$1.2M to $1.6M,
4993,A,Alameda,Frame,Metal,2000 and After,Below 1500,9,$1.6M to $2M,
4994,J,San Francisco,Frame,Shingle,1985 and Before,4000 and Above,1,$1.6M to $2M,
4995,G,San Mateo,Non-Combustible Masonry,Wood,2000 and After,Between 3000 and 4000,4,$1.2M to $1.6M,
4996,B,San Mateo,Frame,Shingle,1986 to 1999,Between 1500 and 3000,2,$1.2M to $1.6M," $123,214.22 "
4997,D,San Mateo,Non-Combustible Masonry,Wood,1985 and Before,4000 and Above,3,Less than $400K,
4998,D,San Francisco,Fire Resistive,Shingle,1985 and Before,4000 and Above,5,$1.6M to $2M,
4999,J,Santa Clara,Fire Resistive,Shingle,2000 and After,4000 and Above,6,$1.6M to $2M,
5000,F,Santa Clara,Fire Resistive,Wood,2000 and After,4000 and Above,3,$1.2M to $1.6M,
5001,A,Solano,Frame,Metal,1985 and Before,Between 1500 and 3000,2,$400K to $800K," $134,849.03 "
5002,H,Solano,Frame,Shingle,1985 and Before,Between 3000 and 4000,9,$800K to $1.2M,
5003,C,Alameda,Non-Combustible Masonry,Wood,1986 to 1999,Between 1500 and 3000,5,$1.2M to $1.6M,
5004,I,Santa Clara,Fire Resistive,Shingle,1986 to 1999,Below 1500,2,$1.6M to $2M,
5005,A,Alameda,Fire Resistive,Wood,1985 and Before,4000 and Above,7,$1.6M to $2M,
5006,G,Alameda,Frame,Wood,1985 and Before,Below 1500,8,$1.2M to $1.6M,
5007,G,Alameda,Fire Resistive,Wood,1986 to 1999,Below 1500,4,$1.2M to $1.6M,
5008,E,Santa Clara,Non-Combustible Masonry,Wood,1985 and Before,Between 3000 and 4000,7,Less than $400K,
5009,C,Alameda,Non-Combustible Masonry,Metal,2000 and After,Between 3000 and 4000,8,$800K to $1.2M," $171,429.20 "
5010,D,San Francisco,Non-Combustible Masonry,Shingle,2000 and After,Below 1500,6,$800K to $1.2M,
5011,E,San Mateo,Fire Resistive,Shingle,1985 and Before,Between 1500 and 3000,8,$1.6M to $2M," $123,889.66 "
5012,J,Solano,Non-Combustible Masonry,Shingle,2000 and After,Between 3000 and 4000,8,$1.6M to $2M,
5013,G,Santa Clara,Frame,Tile,1986 to 1999,Between 3000 and 4000,7,$1.6M to $2M,
5014,E,Solano,Frame,Shingle,1985 and Before,Between 3000 and 4000,10,Less than $400K,
5015,I,Sonoma,Non-Combustible Masonry,Wood,1986 to 1999,Below 1500,5,$1.6M to $2M,
5016,J,San Francisco,Fire Resistive,Metal,1985 and Before,Between 3000 and 4000,6,$800K to $1.2M,
5017,G,Santa Clara,Fire Resistive,Wood,2000 and After,4000 and Above,7,$1.6M to $2M,
5018,C,Santa Clara,Fire Resistive,Shingle,1985 and Before,Between 3000 and 4000,1,$1.6M to $2M,
5019,F,Santa Clara,Fire Resistive,Tile,2000 and After,4000 and Above,5,$400K to $800K,
5020,G,Contra Costa,Frame,Wood,1986 to 1999,Between 1500 and 3000,10,$400K to $800K,
5021,D,Santa Clara,Non-Combustible Masonry,Wood,1985 and Before,Between 3000 and 4000,5,Less than $400K,
5022,D,Santa Clara,Non-Combustible Masonry,Wood,2000 and After,Between 3000 and 4000,5,Less than $400K," $48,874.42 "
5023,J,Santa Clara,Fire Resistive,Wood,2000 and After,4000 and Above,3,Less than $400K," $53,137.98 "
5024,B,Sonoma,Fire Resistive,Wood,1986 to 1999,Between 3000 and 4000,3,$400K to $800K," $79,242.31 "
5025,I,Sonoma,Frame,Tile,2000 and After,Between 3000 and 4000,6,$400K to $800K,
5026,F,San Francisco,Non-Combustible Masonry,Shingle,1985 and Before,Between 3000 and 4000,2,Less than $400K,
5027,I,Santa Clara,Non-Combustible Masonry,Tile,1986 to 1999,Between 3000 and 4000,3,$1.2M to $1.6M,
5028,D,San Mateo,Frame,Wood,1986 to 1999,4000 and Above,3,$800K to $1.2M," $141,673.21 "
5029,I,Alameda,Fire Resistive,Metal,1985 and Before,Between 1500 and 3000,7,$1.6M to $2M,
5030,I,Santa Clara,Frame,Metal,1986 to 1999,4000 and Above,9,$1.2M to $1.6M,
5031,H,Marin,Non-Combustible Masonry,Shingle,1985 and Before,4000 and Above,6,$1.6M to $2M," $156,536.19 "
5032,G,Napa,Non-Combustible Masonry,Shingle,1985 and Before,4000 and Above,6,$1.2M to $1.6M," $231,205.31 "
5033,E,San Francisco,Non-Combustible Masonry,Tile,1985 and Before,Between 1500 and 3000,2,Less than $400K,
5034,F,San Francisco,Frame,Wood,1986 to 1999,Below 1500,6,Less than $400K,
5035,H,Santa Clara,Frame,Shingle,1986 to 1999,Below 1500,10,$800K to $1.2M,
5036,F,Solano,Frame,Tile,2000 and After,4000 and Above,3,$800K to $1.2M," $428,457.68 "
5037,I,Marin,Non-Combustible Masonry,Metal,1986 to 1999,Below 1500,5,Less than $400K,
5038,E,Marin,Frame,Metal,2000 and After,4000 and Above,9,$800K to $1.2M," $115,711.22 "
5039,D,Santa Clara,Non-Combustible Masonry,Shingle,1986 to 1999,4000 and Above,5,$800K to $1.2M,
5040,H,Contra Costa,Non-Combustible Masonry,Metal,2000 and After,Between 3000 and 4000,10,$1.6M to $2M,
5041,H,Sonoma,Frame,Wood,1986 to 1999,Below 1500,4,$800K to $1.2M,
5042,H,Santa Clara,Fire Resistive,Metal,1986 to 1999,4000 and Above,4,$1.6M to $2M," $175,391.23 "
5043,E,Santa Clara,Frame,Shingle,1985 and Before,Between 3000 and 4000,3,Less than $400K,
5044,H,Contra Costa,Fire Resistive,Wood,1985 and Before,Between 1500 and 3000,8,$1.6M to $2M,
5045,B,San Francisco,Non-Combustible Masonry,Metal,1985 and Before,Between 3000 and 4000,10,$800K to $1.2M,
5046,A,Marin,Fire Resistive,Shingle,2000 and After,Between 1500 and 3000,9,$400K to $800K,
5047,H,San Francisco,Frame,Metal,2000 and After,4000 and Above,4,$800K to $1.2M," $99,607.80 "
5048,I,San Francisco,Fire Resistive,Tile,1986 to 1999,Below 1500,9,Less than $400K,
5049,G,San Francisco,Non-Combustible Masonry,Metal,2000 and After,4000 and Above,7,$1.2M to $1.6M,
5050,C,San Francisco,Fire Resistive,Tile,1985 and Before,Between 3000 and 4000,1,$800K to $1.2M,
5051,G,Alameda,Fire Resistive,Metal,1985 and Before,Below 1500,3,$1.6M to $2M,
5052,E,Alameda,Non-Combustible Masonry,Wood,2000 and After,Between 3000 and 4000,3,$1.2M to $1.6M,
5053,C,Alameda,Fire Resistive,Metal,1985 and Before,4000 and Above,5,$1.2M to $1.6M," $184,926.00 "
5054,G,Santa Clara,Non-Combustible Masonry,Shingle,1986 to 1999,Between 1500 and 3000,4,$400K to $800K,
5055,C,San Mateo,Frame,Wood,1985 and Before,Below 1500,7,$800K to $1.2M," $115,154.62 "
5056,D,Solano,Fire Resistive,Shingle,1985 and Before,Below 1500,3,$1.2M to $1.6M,
5057,A,Alameda,Frame,Shingle,1986 to 1999,Between 3000 and 4000,6,$800K to $1.2M,
5058,A,Sonoma,Frame,Metal,2000 and After,Between 1500 and 3000,3,$800K to $1.2M,
5059,F,Santa Clara,Frame,Wood,2000 and After,Between 3000 and 4000,10,$1.6M to $2M,
5060,F,Alameda,Non-Combustible Masonry,Metal,1985 and Before,Between 1500 and 3000,9,$400K to $800K,
5061,F,San Mateo,Frame,Tile,1985 and Before,4000 and Above,6,$1.6M to $2M,
5062,A,Santa Clara,Frame,Shingle,2000 and After,4000 and Above,5,$400K to $800K,
5063,H,San Francisco,Non-Combustible Masonry,Wood,1986 to 1999,4000 and Above,7,$1.2M to $1.6M,
5064,J,Santa Clara,Fire Resistive,Shingle,1985 and Before,Below 1500,1,Less than $400K,
5065,C,Contra Costa,Fire Resistive,Wood,2000 and After,4000 and Above,3,$800K to $1.2M," $117,040.53 "
5066,J,Solano,Fire Resistive,Metal,1986 to 1999,Between 1500 and 3000,3,$1.2M to $1.6M," $165,132.52 "
5067,C,San Mateo,Non-Combustible Masonry,Wood,1986 to 1999,Below 1500,8,Less than $400K,
5068,F,Santa Clara,Fire Resistive,Tile,1985 and Before,4000 and Above,10,Less than $400K,
5069,D,San Mateo,Frame,Shingle,2000 and After,4000 and Above,4,$1.2M to $1.6M,
5070,H,Santa Clara,Frame,Wood,1985 and Before,Below 1500,8,$800K to $1.2M,
5071,C,Alameda,Frame,Metal,1986 to 1999,Between 1500 and 3000,1,$400K to $800K,
5072,F,Alameda,Non-Combustible Masonry,Shingle,1986 to 1999,Between 3000 and 4000,4,$1.2M to $1.6M,
5073,H,Alameda,Non-Combustible Masonry,Wood,2000 and After,Between 3000 and 4000,10,Less than $400K,
5074,H,Contra Costa,Frame,Tile,1985 and Before,Below 1500,3,$800K to $1.2M,
5075,A,Sonoma,Fire Resistive,Tile,1986 to 1999,Between 3000 and 4000,3,$1.2M to $1.6M,
5076,H,San Francisco,Fire Resistive,Tile,1986 to 1999,Between 1500 and 3000,2,$800K to $1.2M,
5077,J,Santa Clara,Non-Combustible Masonry,Metal,2000 and After,Between 3000 and 4000,9,$1.2M to $1.6M,
5078,D,San Mateo,Frame,Shingle,1986 to 1999,4000 and Above,8,$400K to $800K,
5079,J,Contra Costa,Non-Combustible Masonry,Tile,2000 and After,Between 1500 and 3000,8,$1.6M to $2M,
5080,I,Solano,Non-Combustible Masonry,Wood,2000 and After,Between 3000 and 4000,4,$1.2M to $1.6M,
5081,J,San Mateo,Fire Resistive,Metal,1985 and Before,4000 and Above,3,$1.2M to $1.6M,
5082,G,San Mateo,Non-Combustible Masonry,Tile,1985 and Before,Below 1500,4,$1.2M to $1.6M," $118,820.15 "
5083,B,Alameda,Fire Resistive,Tile,1985 and Before,Below 1500,3,$1.2M to $1.6M," $198,263.70 "
5084,A,Contra Costa,Non-Combustible Masonry,Tile,2000 and After,Below 1500,6,$400K to $800K,
5085,B,Contra Costa,Non-Combustible Masonry,Tile,2000 and After,Between 3000 and 4000,8,$400K to $800K," $74,955.05 "
5086,I,Alameda,Non-Combustible Masonry,Wood,1986 to 1999,Between 1500 and 3000,10,$1.6M to $2M,
5087,E,Contra Costa,Frame,Metal,1986 to 1999,4000 and Above,8,$800K to $1.2M,
5088,A,Santa Clara,Frame,Tile,1985 and Before,Between 1500 and 3000,9,$1.6M to $2M,
5089,F,San Francisco,Non-Combustible Masonry,Metal,1985 and Before,Between 3000 and 4000,5,Less than $400K,
